assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	ncbi_taxonomy_x	ncbi_taxonomy_y	NCBI_Domain	NCBI_Phylum	NCBI_Class	NCBI_Order	NCBI_Family	NCBI_Genus	NCBI_Species	GCF
GCF_000300005.1	PRJNA224116	SAMN02603961		representative genome	930169	285091	Alcanivorax dieselolei B5	strain=B5		latest	Complete Genome	Major	Full	2012/09/28	ASM30000v1	Third Institute of Oceanography, State Oceanic Administration	GCA_000300005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/300/005/GCF_000300005.1_ASM30000v1		assembly from type material	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Alcanivoracaceae;g__Alcanivorax;s__Alcanivorax dieselolei	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Alcanivoracaceae;g__Alcanivorax;s__Alcanivorax dieselolei	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	Alcanivorax_dieselolei	000300005
GCF_001277995.1	PRJNA224116	SAMN02950576		representative genome	931089	1408191	Corynebacterium deserti GIMN1.010	strain=GIMN1.010		latest	Complete Genome	Major	Full	2015/09/02	ASM127799v1	Bielefeld University	GCA_001277995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/277/995/GCF_001277995.1_ASM127799v1		assembly from type material	d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium deserti	d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium deserti	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium_deserti	001277995
GCF_000340885.1	PRJNA224116	SAMN02603265		representative genome	931276	36745	Clostridium saccharoperbutylacetonicum N1-4(HMT)	strain=N1-4(HMT)		latest	Complete Genome	Major	Full	2013/02/19	ASM34088v1	Georg-August-University Goettingen	GCA_000340885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/340/885/GCF_000340885.1_ASM34088v1		assembly from type material	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium saccharoperbutylacetonicum	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium saccharoperbutylacetonicum	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium_saccharoperbutylacetonicum	000340885
GCF_000247605.1	PRJNA224116	SAMN02603267		representative genome	931626	33952	Acetobacterium woodii DSM 1030	strain=DSM 1030		latest	Complete Genome	Major	Full	2012/02/14	ASM24760v1	Georg-August-University Goettingen	GCA_000247605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/605/GCF_000247605.1_ASM24760v1		assembly from type material	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Acetobacterium;s__Acetobacterium woodii	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Acetobacterium;s__Acetobacterium woodii	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Acetobacterium_woodii	000247605
GCF_002278135.2	PRJNA224116	SAMN07448707		representative genome	931866	931866	Bradyrhizobium ottawaense	strain=OO99		latest	Complete Genome	Major	Full	2018/05/22	ASM227813v2	Ottawa Research and Development Center	GCA_002278135.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/278/135/GCF_002278135.2_ASM227813v2		assembly from type material	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;s__Bradyrhizobium ottawaense	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;s__Bradyrhizobium ottawaense	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium_ottawaense	002278135
GCF_002706745.1	PRJNA224116	SAMN05913070		representative genome	936140	1612	Lactobacillus farciminis KCTC 3681 = DSM 20184	strain=DSM 20184		latest	Complete Genome	Major	Full	2017/10/25	ASM270674v1	Kyungpook National University	GCA_002706745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/706/745/GCF_002706745.1_ASM270674v1		assembly from type material	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Companilactobacillus;s__Companilactobacillus farciminis	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Companilactobacillus;s__Companilactobacillus farciminis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	Companilactobacillus_farciminis	002706745
GCF_000200595.1	PRJNA224116	SAMEA2272759		representative genome	936155	214	Helicobacter felis ATCC 49179	strain=ATCC 49179		latest	Complete Genome	Major	Full	2011/03/15	ASM20059v1	Wellcome Trust Sanger Institute	GCA_000200595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/200/595/GCF_000200595.1_ASM20059v1		assembly from type material	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter felis	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter felis	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter_felis	000200595
GCF_011046975.1	PRJNA224116	SAMN14167854		representative genome	936337	936337	Microbacterium amylolyticum	strain=DSM 24221		latest	Complete Genome	Major	Full	2020/03/02	ASM1104697v1	Kyungpook National University	GCA_011046975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/046/975/GCF_011046975.1_ASM1104697v1		assembly from type material	d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium amylolyticum	d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium amylolyticum	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_amylolyticum	011046975
GCF_000185885.1	PRJNA224116	SAMN02603958		representative genome	937773	283734	Staphylococcus pseudintermedius HKU10-03	strain=HKU10-03		latest	Complete Genome	Major	Full	2011/01/07	ASM18588v1	The University of Hong Kong	GCA_000185885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/185/885/GCF_000185885.1_ASM18588v1			d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus pseudintermedius	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus pseudintermedius	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_pseudintermedius	000185885
GCF_000317835.1	PRJNA224116	SAMN02261392		representative genome	937777	432329	Deinococcus peraridilitoris DSM 19664	strain=DSM 19664		latest	Complete Genome	Major	Full	2012/12/10	ASM31783v1	JGI	GCA_000317835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/835/GCF_000317835.1_ASM31783v1		assembly from type material	d__Bacteria;p__Deinococcus-Thermus;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__Deinococcus peraridilitoris	d__Bacteria;p__Deinococcus_Thermus;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__Deinococcus peraridilitoris	Bacteria	Deinococcus_Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus_peraridilitoris	000317835
GCF_006007945.1	PRJNA224116	SAMN11890478		representative genome	938155	938155	Companilactobacillus futsaii	strain=Y97		latest	Complete Genome	Major	Full	2019/06/05	ASM600794v1	chengdu medical college	GCA_006007945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/007/945/GCF_006007945.1_ASM600794v1			d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Companilactobacillus;s__Companilactobacillus futsaii	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Companilactobacillus;s__Companilactobacillus futsaii	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	Companilactobacillus_futsaii	006007945
GCF_000237845.1	PRJNA224116	SAMN02603145		representative genome	941638	35794	Rickettsia slovaca 13-B	strain=13-B		latest	Complete Genome	Major	Full	2011/12/13	ASM23784v1	CNRS	GCA_000237845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/237/845/GCF_000237845.1_ASM23784v1		assembly from type material	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__Rickettsia;s__Rickettsia slovaca	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__Rickettsia;s__Rickettsia slovaca	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia_slovaca	000237845
GCF_000200735.1	PRJNA224116	SAMEA2272171		representative genome	941640	29501	Mycoplasma haemofelis str. Langford 1	strain=Langford 1		latest	Complete Genome	Major	Full	2011/01/20	ASM20073v1	Centre for Genomic Research, Institute of Integrative Biology, University of Liverpool	GCA_000200735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/200/735/GCF_000200735.1_ASM20073v1		assembly designated as reftype	d__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma;s__Mycoplasma haemofelis	d__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma;s__Mycoplasma haemofelis	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma_haemofelis	000200735
GCF_000186005.1	PRJNA224116	SAMN02604339		representative genome	943945	2115	Mycoplasma fermentans M64	strain=M64		latest	Complete Genome	Major	Full	2011/01/13	ASM18600v1	Yang-Ming University	GCA_000186005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/186/005/GCF_000186005.1_ASM18600v1			d__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasmopsis;s__Mycoplasma fermentans	d__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasmopsis;s__Mycoplasma fermentans	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasmopsis	Mycoplasma_fermentans	000186005
GCF_000284355.1	PRJNA224116	SAMD00060980		representative genome	944546	28197	Arcobacter butzleri ED-1	strain=ED-1		latest	Complete Genome	Major	Full	2011/09/02	ASM28435v1	Center for Computational and Quantitative Life Science, RIKEN	GCA_000284355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/355/GCF_000284355.1_ASM28435v1			d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Arcobacter;s__Arcobacter butzleri	d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Arcobacter;s__Arcobacter butzleri	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter	Arcobacter_butzleri	000284355
GCF_000283615.1	PRJNA224116	SAMD00061109		representative genome	945021	51669	Tetragenococcus halophilus NBRC 12172	strain=NBRC 12172		latest	Complete Genome	Major	Full	2011/09/30	ASM28361v1	National Institute of Technology and Evaluation	GCA_000283615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/615/GCF_000283615.1_ASM28361v1			d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Tetragenococcus;s__Tetragenococcus halophilus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Tetragenococcus;s__Tetragenococcus halophilus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Tetragenococcus	Tetragenococcus_halophilus	000283615
GCF_000258405.1	PRJNA224116	SAMN02603949		representative genome	945713	591197	Ignavibacterium album JCM 16511	strain=JCM 16511		latest	Complete Genome	Major	Full	2012/04/10	ASM25840v1	The Pennsylvania State University	GCA_000258405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/258/405/GCF_000258405.1_ASM25840v1		assembly from type material	d__Bacteria;p__Ignavibacteriae;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__Ignavibacterium;s__Ignavibacterium album	d__Bacteria;p__Ignavibacteriae;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__Ignavibacterium;s__Ignavibacterium album	Bacteria	Ignavibacteriae	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Ignavibacterium	Ignavibacterium_album	000258405
GCF_003143515.1	PRJNA224116	SAMN09104968		representative genome	945844	945844	Massilia oculi	strain=CCUG 43427		latest	Complete Genome	Major	Full	2018/05/19	ASM314351v1	Shanghai Jiao Tong University	GCA_003143515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/143/515/GCF_003143515.1_ASM314351v1			d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia;s__Massilia oculi	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia;s__Massilia oculi	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia_oculi	003143515
GCF_002762215.1	PRJNA224116	SAMN07709032		representative genome	946333	946333	Rhizobacter gummiphilus	strain=NBRC 109400		latest	Complete Genome	Major	Full	2017/11/08	ASM276221v1	Zhejiang Academy of Agricultural Sciences	GCA_002762215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/762/215/GCF_002762215.1_ASM276221v1		assembly from type material	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__;g__Rhizobacter;s__Rhizobacter gummiphilus	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__;g__Rhizobacter;s__Rhizobacter gummiphilus	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	norank	Rhizobacter	Rhizobacter_gummiphilus	002762215
GCF_009688965.1	PRJNA224116	SAMD00190779		representative genome	947919	947919	Desulfosarcina widdelii	strain=PP31		latest	Complete Genome	Major	Full	2019/11/07	ASM968896v1	The Institute of Low Temperature Science, Hokkaido University	GCA_009688965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/688/965/GCF_009688965.1_ASM968896v1		assembly from type material	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfosarcina;s__Desulfosarcina widdelii	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfosarcina;s__Desulfosarcina widdelii	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfosarcina	Desulfosarcina_widdelii	009688965
GCF_008087665.1	PRJNA224116	SAMN10980025		representative genome	980251	980251	Mariniblastus fucicola	strain=FC18		latest	Complete Genome	Major	Full	2019/08/26	ASM808766v1	Radboud Universiteit Nijmegen	GCA_008087665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/087/665/GCF_008087665.1_ASM808766v1		assembly from type material	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Mariniblastus;s__Mariniblastus fucicola	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Mariniblastus;s__Mariniblastus fucicola	Bacteria	Planctomycetes	Planctomycetia	Pirellulales	Pirellulaceae	Mariniblastus	Mariniblastus_fucicola	008087665
GCF_008065135.1	PRJNA224116	SAMN10980022		representative genome	980254	980254	Roseimaritima ulvae	strain=UC8		latest	Complete Genome	Major	Full	2019/08/22	ASM806513v1	Radboud Universiteit Nijmegen	GCA_008065135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/065/135/GCF_008065135.1_ASM806513v1		assembly from type material	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Roseimaritima;s__Roseimaritima ulvae	d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Roseimaritima;s__Roseimaritima ulvae	Bacteria	Planctomycetes	Planctomycetia	Pirellulales	Pirellulaceae	Roseimaritima	Roseimaritima_ulvae	008065135
GCF_005377625.1	PRJNA224116	SAMN11582078		representative genome	980445	361111	Desulfoglaeba alkanexedens ALDC	strain=ALDC		latest	Complete Genome	Major	Full	2019/05/15	ASM537762v1	University of Oklahoma	GCA_005377625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/377/625/GCF_005377625.1_ASM537762v1		assembly from type material	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__Desulfoglaeba;s__Desulfoglaeba alkanexedens	d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__Desulfoglaeba;s__Desulfoglaeba alkanexedens	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	Desulfoglaeba	Desulfoglaeba_alkanexedens	005377625
GCF_000226295.1	PRJNA224116	SAMN02603950		representative genome	981222	458033	Chloracidobacterium thermophilum B	strain=B		latest	Complete Genome	Major	Full	2011/09/23	ASM22629v1	The Pennsylvania State University	GCA_000226295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/226/295/GCF_000226295.1_ASM22629v1		assembly from type material	d__Bacteria;p__Acidobacteria;c__Blastocatellia;o__;f__;g__Chloracidobacterium;s__Chloracidobacterium thermophilum	d__Bacteria;p__Acidobacteria;c__Blastocatellia;o__;f__;g__Chloracidobacterium;s__Chloracidobacterium thermophilum	Bacteria	Acidobacteria	Blastocatellia	norank	norank	Chloracidobacterium	Chloracidobacterium_thermophilum	000226295
GCF_900636915.1	PRJNA224116	SAMEA3919800		representative genome	985008	732	Aggregatibacter aphrophilus ATCC 33389	strain=NCTC 5906		latest	Complete Genome	Major	Full	2018/12/20	45532_F02	SC	GCA_900636915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/915/GCF_900636915.1_45532_F02		assembly from type material	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Aggregatibacter;s__Aggregatibacter aphrophilus	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Aggregatibacter;s__Aggregatibacter aphrophilus	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Aggregatibacter_aphrophilus	900636915
GCF_000959525.1	PRJNA224116	SAMN03140189		representative genome	985079	87883	Burkholderia multivorans ATCC BAA-247	strain=BAA-247		latest	Complete Genome	Major	Full	2015/03/20	ASM95952v1	Los Alamos National Laboratory	GCA_000959525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/959/525/GCF_000959525.1_ASM95952v1		assembly from type material	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia multivorans	d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia multivorans	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia_multivorans	000959525
GCF_000235585.1	PRJNA224116	SAMN02603583		representative genome	985665	159743	Paenibacillus terrae HPL-003	strain=HPL-003		latest	Complete Genome	Major	Full	2011/11/16	ASM23558v1	Macrogen Inc.	GCA_000235585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/235/585/GCF_000235585.1_ASM23558v1			d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus terrae	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus terrae	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus_terrae	000235585
GCF_011466855.1	PRJNA224116	SAMN13231958		representative genome	985762	985762	Staphylococcus agnetis	strain=1379		latest	Complete Genome	Major	Full	2020/03/19	ASM1146685v1	UNIVERSITY OF ARKANSAS	GCA_011466855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/466/855/GCF_011466855.1_ASM1146685v1			d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus agnetis	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus agnetis	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus_agnetis	011466855
GCF_001046955.1	PRJNA224116	SAMN03840244		representative genome	988812	42444	Marinovum algicola DG 898	strain=DG 898		latest	Complete Genome	Major	Full	2015/07/06	ASM104695v1	LGC Genomics	GCA_001046955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/046/955/GCF_001046955.1_ASM104695v1			d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinovum;s__Marinovum algicola	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinovum;s__Marinovum algicola	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Marinovum	Marinovum_algicola	001046955
GCF_001561955.1	PRJNA224116	SAMN04437875		representative genome	991789	28446	Anaerotignum propionicum DSM 1682	strain=X2		latest	Complete Genome	Major	Full	2016/02/16	ASM156195v1	Goettingen Genomics Laboratory	GCA_001561955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/561/955/GCF_001561955.1_ASM156195v1		assembly from type material	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerotignum;s__Anaerotignum propionicum	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__Anaerotignum;s__Anaerotignum propionicum	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Anaerotignum	Anaerotignum_propionicum	001561955
GCF_000218855.1	PRJNA224116	SAMN02603396		representative genome	991791	1488	Clostridium acetobutylicum DSM 1731	strain=DSM 1731		latest	Complete Genome	Major	Full	2011/06/17	ASM21885v1	Institute Of Microbiology Chinese Academy of Sciences	GCA_000218855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/855/GCF_000218855.1_ASM21885v1			d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium acetobutylicum	d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__Clostridium acetobutylicum	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium_acetobutylicum	000218855
GCF_000192745.1	PRJNA224116	SAMN02603150		representative genome	991905	991904	Polymorphum gilvum SL003B-26A1	strain=SL003B-26A1		latest	Complete Genome	Major	Full	2011/03/18	ASM19274v1	College of Engineering, Peking University	GCA_000192745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/192/745/GCF_000192745.1_ASM19274v1		assembly from type material	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Polymorphum;s__Polymorphum gilvum	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Polymorphum;s__Polymorphum gilvum	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Polymorphum	Polymorphum_gilvum	000192745
GCF_001975665.1	PRJNA224116	SAMN06240835		representative genome	996801	996801	Polaribacter reichenbachii	strain=6Alg 8T		latest	Complete Genome	Major	Full	2017/01/30	ASM197566v1	Kyung Hee University	GCA_001975665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/975/665/GCF_001975665.1_ASM197566v1		assembly from type material	d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Polaribacter;s__Polaribacter reichenbachii	d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Polaribacter;s__Polaribacter reichenbachii	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter	Polaribacter_reichenbachii	001975665
GCF_000258535.2	PRJNA224116	SAMN02603635		representative genome	997761	61624	Paenibacillus mucilaginosus K02	strain=K02		latest	Complete Genome	Major	Full	2013/06/10	ASM25853v2	Nanjing Normal University	GCA_000258535.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/258/535/GCF_000258535.2_ASM25853v2			d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus mucilaginosus	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus mucilaginosus	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus_mucilaginosus	000258535
