assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000023205.1	PRJNA224116	SAMN00000281		representative genome	465515	1270	Micrococcus luteus NCTC 2665	strain=NCTC 2665 (Fleming 2665)		latest	Complete Genome	Major	Full	2009/06/12	ASM2320v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000023205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/205/GCF_000023205.1_ASM2320v1		assembly from type material
GCF_001579945.1	PRJNA224116	SAMN03776156		representative genome	465721	465721	Steroidobacter denitrificans	strain=DSM 18526		latest	Complete Genome	Major	Full	2016/03/03	ASM157994v1	Academia Sinica	GCA_001579945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/579/945/GCF_001579945.1_ASM157994v1		assembly from type material
GCF_000026185.1	PRJNA224116	SAMEA2272215		representative genome	465817	338565	Erwinia tasmaniensis Et1/99	strain=Et1/99		latest	Complete Genome	Major	Full	2008/05/13	ASM2618v1	Max Planck Institute for Molecular Genetics (MPIMG)	GCA_000026185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/185/GCF_000026185.1_ASM2618v1		assembly from type material
GCF_000023845.1	PRJNA224116	SAMN02598434		representative genome	469378	84163	Cryptobacterium curtum DSM 15641	strain=DSM 15641		latest	Complete Genome	Major	Full	2009/08/26	ASM2384v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000023845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/845/GCF_000023845.1_ASM2384v1		assembly from type material
GCF_000025265.1	PRJNA224116	SAMN00002582		representative genome	469383	191495	Conexibacter woesei DSM 14684	strain=DSM 14684		latest	Complete Genome	Major	Full	2010/01/15	ASM2526v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000025265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/265/GCF_000025265.1_ASM2526v1		assembly from type material
GCF_003019695.1	PRJNA224116	SAMN08501140		representative genome	469615	849	Fusobacterium gonidiaformans ATCC 25563	strain=ATCC 25563		latest	Complete Genome	Major	Full	2018/03/26	ASM301969v1	Virginia Tech	GCA_003019695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/019/695/GCF_003019695.1_ASM301969v1		assembly from type material
GCF_003019315.1	PRJNA224116	SAMN08501148		representative genome	469616	850	Fusobacterium mortiferum ATCC 9817	strain=ATCC 9817		latest	Complete Genome	Major	Full	2018/03/26	ASM301931v1	Virginia Tech	GCA_003019315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/019/315/GCF_003019315.1_ASM301931v1		
GCF_003019655.1	PRJNA224116	SAMN08501142		representative genome	469618	856	Fusobacterium varium ATCC 27725	strain=ATCC 27725		latest	Complete Genome	Major	Full	2018/03/26	ASM301965v1	Virginia Tech	GCA_003019655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/019/655/GCF_003019655.1_ASM301965v1		
GCF_010731715.1	PRJNA224116	SAMD00153208		representative genome	470076	470076	Mycobacterium stomatepiae	strain=JCM 17783		latest	Complete Genome	Major	Full	2020/02/06	ASM1073171v1	Department of Infection Metagenomics, Osaka University	GCA_010731715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/715/GCF_010731715.1_ASM1073171v1		assembly from type material
GCF_009646115.1	PRJNA224116	SAMN10385900		representative genome	470933	470933	Pantoea eucalypti	strain=LMG 24197		latest	Complete Genome	Major	Full	2019/11/09	ASM964611v1	Nanjing Forestry University	GCA_009646115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/646/115/GCF_009646115.1_ASM964611v1		assembly from type material
GCF_004792415.1	PRJNA224116	SAMN10414043		representative genome	470934	470934	Pantoea vagans	strain=LMG 24199		latest	Complete Genome	Major	Full	2019/04/14	ASM479241v1	Nanjing Forestry University	GCA_004792415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/792/415/GCF_004792415.1_ASM479241v1		assembly from type material
GCF_000023105.1	PRJNA224116	SAMN02598436		representative genome	471853	84757	Beutenbergia cavernae DSM 12333	strain=DSM 12333		latest	Complete Genome	Major	Full	2009/05/07	ASM2310v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000023105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/105/GCF_000023105.1_ASM2310v1		assembly from type material
GCF_000023125.1	PRJNA224116	SAMN02598437		representative genome	471854	94254	Dyadobacter fermentans DSM 18053	strain=DSM 18053		latest	Complete Genome	Major	Full	2009/07/31	ASM2312v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000023125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/125/GCF_000023125.1_ASM2312v1		assembly from type material
GCF_900070355.1	PRJNA224116	SAMEA3388572		representative genome	472569	472569	Devriesea agamarum	strain=IMP2		latest	Complete Genome	Major	Full	2015/07/14	S2_rcS3_S1_rcS3	Ghent University, Faculty of Veterinary Medicine	GCA_900070355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/070/355/GCF_900070355.1_S2_rcS3_S1_rcS3		assembly from type material
GCF_000024725.1	PRJNA224116	SAMN02598510		representative genome	472759	133539	Nitrosococcus halophilus Nc 4	strain=Nc 4		latest	Complete Genome	Major	Full	2010/03/26	ASM2472v1	US DOE Joint Genome Institute	GCA_000024725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/725/GCF_000024725.1_ASM2472v1		assembly from type material
GCF_002549795.1	PRJNA224116	SAMN07135858		representative genome	475662	475662	Halomonas beimenensis	strain=NTU-111		latest	Complete Genome	Major	Full	2017/10/13	ASM254979v1	National Taiwan University	GCA_002549795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/549/795/GCF_002549795.1_ASM254979v1		
GCF_001663155.1	PRJNA224116	SAMN04870883		representative genome	476157	476157	Altererythrobacter ishigakiensis	strain=NBRC 107699		latest	Complete Genome	Major	Full	2016/06/15	ASM166315v1	Second Institute of Oceanography, State Oceanic Administration	GCA_001663155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/663/155/GCF_001663155.1_ASM166315v1		assembly from type material
GCF_002355595.1	PRJNA224116	SAMD00045010		representative genome	477680	477680	Filimonas lacunae	strain=NBRC 104114		latest	Complete Genome	Major	Full	2016/05/23	F. lacunae YT21-2	Life Science Reseach Center, College of Bioresource Sciences, Nihon University	GCA_002355595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/355/595/GCF_002355595.1_F._lacunae_YT21-2		assembly from type material
GCF_000024365.1	PRJNA224116	SAMN02598467		representative genome	479431	53461	Nakamurella multipartita DSM 44233	strain=DSM 44233		latest	Complete Genome	Major	Full	2009/09/15	ASM2436v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000024365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/365/GCF_000024365.1_ASM2436v1		assembly from type material
GCF_000024985.1	PRJNA224116	SAMN02598446		representative genome	479434	2057	Sphaerobacter thermophilus DSM 20745	strain=DSM 20745		latest	Complete Genome	Major	Full	2009/11/23	ASM2498v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000024985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/985/GCF_000024985.1_ASM2498v1		assembly from type material
GCF_000024345.1	PRJNA224116	SAMN02598447		representative genome	479435	182640	Kribbella flavida DSM 17836	strain=DSM 17836		latest	Complete Genome	Major	Full	2010/01/13	ASM2434v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000024345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/345/GCF_000024345.1_ASM2434v1		assembly from type material
GCF_000024265.1	PRJNA224116	SAMN00002594		representative genome	479437	84112	Eggerthella lenta DSM 2243	strain=DSM 2243		latest	Complete Genome	Major	Full	2009/09/09	ASM2426v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000024265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/265/GCF_000024265.1_ASM2426v1		assembly from type material
GCF_014466955.1	PRJNA224116	SAMD00238642		representative genome	480035	480035	Nocardia wallacei	strain=FMUON74		latest	Complete Genome	Major	Full	2020/08/22	ASM1446695v1	Hospital: National Hospital Organization Okayama Medical Center, Okayama	GCA_014466955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/466/955/GCF_014466955.1_ASM1446695v1		
GCF_000022185.1	PRJNA224116	SAMN02598448		representative genome	480224	1108	Chloroflexus aurantiacus Y-400-fl	strain=Y-400-fl		latest	Complete Genome	Major	Full	2009/02/04	ASM2218v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000022185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/185/GCF_000022185.1_ASM2218v1		
GCF_000833025.1	PRJNA224116	SAMN03282272		representative genome	480520	480520	Myroides profundi	strain=D25		latest	Complete Genome	Major	Full	2015/02/05	ASM83302v1	Shandong University	GCA_000833025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/833/025/GCF_000833025.1_ASM83302v1		assembly from type material
GCF_001766235.1	PRJNA224116	SAMN04605654		representative genome	481146	481146	Acetobacter ascendens	strain=LMG 1590		latest	Complete Genome	Major	Full	2016/10/14	ASM176623v1	Chung-Ang University	GCA_001766235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/766/235/GCF_001766235.1_ASM176623v1		assembly from type material
GCF_000019665.1	PRJNA224116	SAMN02604183		representative genome	481448	511746	Methylacidiphilum infernorum V4	strain=V4		latest	Complete Genome	Major	Full	2008/05/30	ASM1966v1	University of Hawaii	GCA_000019665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/665/GCF_000019665.1_ASM1966v1		
GCF_002157835.1	PRJNA224116	SAMN06134492		representative genome	482462	482462	Mycobacterium dioxanotrophicus	strain=PH-06		latest	Complete Genome	Major	Full	2017/05/25	ASM215783v1	Rice University	GCA_002157835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/157/835/GCF_002157835.1_ASM215783v1		assembly from type material
GCF_000018525.1	PRJNA224116	SAMN02604295		representative genome	483179	36855	Brucella canis ATCC 23365	strain=ATCC 23365		latest	Complete Genome	Major	Full	2007/11/29	ASM1852v1	Virginia Bioinformatics Institute	GCA_000018525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/525/GCF_000018525.1_ASM1852v1		assembly from type material
GCF_000827125.1	PRJNA224116	SAMN03096814		representative genome	483547	483547	Geoalkalibacter subterraneus	strain=Red1		latest	Complete Genome	Major	Full	2015/01/21	ASM82712v1	University of Minnesota	GCA_000827125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/827/125/GCF_000827125.1_ASM82712v1		assembly from type material
GCF_000021285.1	PRJNA224116	SAMN02603170		representative genome	484019	2421	Thermosipho africanus TCF52B	strain=TCF52B		latest	Complete Genome	Major	Full	2008/12/10	ASM2128v1	Dalhousie University	GCA_000021285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/285/GCF_000021285.1_ASM2128v1		
GCF_000024325.1	PRJNA224116	SAMN02598459		representative genome	485915	45663	Desulfohalobium retbaense DSM 5692	strain=DSM 5692		latest	Complete Genome	Major	Full	2009/09/11	ASM2432v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000024325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/325/GCF_000024325.1_ASM2432v1		assembly from type material
GCF_000024205.1	PRJNA224116	SAMN02598455		representative genome	485916	58138	Desulfofarcimen acetoxidans DSM 771	strain=DSM 771		latest	Complete Genome	Major	Full	2009/09/10	ASM2420v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000024205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/205/GCF_000024205.1_ASM2420v1		assembly from type material
GCF_000023825.1	PRJNA224116	SAMN02598456		representative genome	485917	984	Pedobacter heparinus DSM 2366	strain=DSM 2366		latest	Complete Genome	Major	Full	2009/08/05	ASM2382v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000023825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/825/GCF_000023825.1_ASM2382v1		assembly from type material
GCF_000024005.1	PRJNA224116	SAMN00001914		representative genome	485918	79329	Chitinophaga pinensis DSM 2588	strain=DSM 2588		latest	Complete Genome	Major	Full	2009/08/19	ASM2400v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000024005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/005/GCF_000024005.1_ASM2400v1		assembly from type material
GCF_000277125.1	PRJNA224116	SAMN02603186		representative genome	487521	1767	Mycobacterium intracellulare ATCC 13950	strain=ATCC 13950		latest	Complete Genome	Major	Full	2012/02/29	ASM27712v1	Department of Microbiology and Immunology, Seoul National University	GCA_000277125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/125/GCF_000277125.1_ASM27712v1		assembly from type material
GCF_014931075.1	PRJNA224116	SAMN16387700		representative genome	488546	488546	Campylobacter peloridis	strain=2016D-0074		latest	Complete Genome	Major	Full	2020/10/26	ASM1493107v1	Centers for Disease Control and Prevention	GCA_014931075.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/931/075/GCF_014931075.1_ASM1493107v1		
GCF_001718555.1	PRJNA224116	SAMN03449247		representative genome	488729	488729	Burkholderia metallica	strain=FL-6-5-30-S1-D7		latest	Complete Genome	Major	Full	2016/09/02	ASM171855v1	Northern Arizona University	GCA_001718555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/718/555/GCF_001718555.1_ASM171855v1		
GCF_001718535.1	PRJNA224116	SAMN03449243		representative genome	488731	488731	Burkholderia seminalis	strain=FL-5-4-10-S1-D7		latest	Complete Genome	Major	Full	2016/09/02	ASM171853v1	Northern Arizona University	GCA_001718535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/718/535/GCF_001718535.1_ASM171853v1		
GCF_000214215.1	PRJNA224116	SAMN00713622		representative genome	491952	936476	Marinomonas posidonica IVIA-Po-181	strain=IVIA-Po-181		latest	Complete Genome	Major	Full	2011/05/20	ASM21421v1	US DOE Joint Genome Institute	GCA_000214215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/214/215/GCF_000214215.1_ASM21421v1		assembly from type material
GCF_002117165.1	PRJNA224116	SAMN03571282		representative genome	492670	492670	Bacillus velezensis	strain=CBMB205		latest	Complete Genome	Major	Full	2017/05/02	ASM211716v1	Chung-Ang University	GCA_002117165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/117/165/GCF_002117165.1_ASM211716v1		assembly from synonym type material
GCF_007970665.1	PRJNA224116	SAMN12429830		representative genome	496014	496014	Baekduia soli	strain=BR7-21		latest	Complete Genome	Major	Full	2019/08/12	ASM797066v1	Hankyong National University	GCA_007970665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/970/665/GCF_007970665.1_ASM797066v1		assembly from type material
GCF_007971385.1	PRJNA224116	SAMN12478316		representative genome	496057	496057	Arachidicoccus ginsenosidivorans	strain=Gsoil 809		latest	Complete Genome	Major	Full	2019/08/12	ASM797138v1	Hankyong National University	GCA_007971385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/971/385/GCF_007971385.1_ASM797138v1		assembly from type material
GCF_001658025.1	PRJNA224116	SAMN04419549		representative genome	497725	497725	Kosakonia oryzae	strain=Ola 51		latest	Complete Genome	Major	Full	2016/06/06	ASM165802v1	Zhejiang university	GCA_001658025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/658/025/GCF_001658025.1_ASM165802v1		assembly from type material
GCF_000147335.1	PRJNA224116	SAMN00000663		representative genome	497965	2546359	Gloeothece verrucosa PCC 7822	strain=PCC 7822		latest	Complete Genome	Major	Full	2010/09/15	ASM14733v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000147335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/335/GCF_000147335.1_ASM14733v1		assembly from type material
GCF_000019225.1	PRJNA224116	SAMN02603448		representative genome	498211	155077	Cellvibrio japonicus Ueda107	strain=Ueda107		latest	Complete Genome	Major	Full	2008/06/19	ASM1922v1	J. Craig Venter Institute	GCA_000019225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/225/GCF_000019225.1_ASM1922v1		assembly from type material
GCF_000019165.1	PRJNA224116	SAMN02602985		representative genome	498761	35701	Heliobacterium modesticaldum Ice1	strain=Ice1; ATCC 51547		latest	Complete Genome	Major	Full	2008/04/01	ASM1916v1	Arizona State University	GCA_000019165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/165/GCF_000019165.1_ASM1916v1		assembly from type material
GCF_001399775.1	PRJNA224116	SAMN02441811		representative genome	498848	271	Thermus aquaticus Y51MC23	strain=Y51MC23		latest	Complete Genome	Major	Full	2015/10/19	ASM139977v1	Lucigen Corp.	GCA_001399775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/399/775/GCF_001399775.1_ASM139977v1		
GCF_001659785.1	PRJNA224116	SAMN04219460		representative genome	499555	499555	Dietzia timorensis	strain=ID05-A0528		latest	Complete Genome	Major	Full	2016/06/07	ASM165978v1	Peking University	GCA_001659785.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/659/785/GCF_001659785.1_ASM165978v1		assembly from type material
GCF_000024805.1	PRJNA224116	SAMN00002596		representative genome	502025	80816	Haliangium ochraceum DSM 14365	strain=DSM 14365		latest	Complete Genome	Major	Full	2009/10/27	ASM2480v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000024805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/805/GCF_000024805.1_ASM2480v1		assembly from type material
GCF_000218565.1	PRJNA224116	SAMN02603254		representative genome	504832	40137	Oligotropha carboxidovorans OM5	strain=OM5		latest	Complete Genome	Major	Full	2011/06/15	ASM21856v1	Georg-August Universität Göttingen	GCA_000218565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/565/GCF_000218565.1_ASM21856v1		assembly from type material
GCF_003544855.1	PRJNA224116	SAMN03737953		representative genome	505249	505249	Malaciobacter marinus	strain=JCM 15502		latest	Complete Genome	Major	Full	2018/09/11	ASM354485v1	USDA, ARS, WRRC	GCA_003544855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/544/855/GCF_003544855.1_ASM354485v1		assembly from type material
GCF_000019345.1	PRJNA224116	SAMN02604063		representative genome	505682	134821	Ureaplasma parvum serovar 3 str. ATCC 27815	strain=ATCC 27815		latest	Complete Genome	Major	Full	2008/02/26	ASM1934v1	TIGR	GCA_000019345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/345/GCF_000019345.1_ASM1934v1		assembly from type material
GCF_001545155.1	PRJNA224116	SAMN04281796		representative genome	507626	507626	Halomonas chromatireducens	strain=AGD 8-3		latest	Complete Genome	Major	Full	2016/02/02	ASM154515v1	Institute of Bioengineering	GCA_001545155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/545/155/GCF_001545155.1_ASM154515v1		
GCF_003722315.1	PRJNA224116	SAMN10298210		representative genome	509192	1757	Thermoanaerobacter ethanolicus JW 200	strain=JW 200		latest	Complete Genome	Major	Full	2018/11/13	ASM372231v1	University of Exeter	GCA_003722315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/722/315/GCF_003722315.1_ASM372231v1		assembly from type material
GCF_000284335.1	PRJNA224116	SAMD00061110		representative genome	511051	693075	Caldisericum exile AZM16c01	strain=AZM16c01		latest	Complete Genome	Major	Full	2012/03/28	ASM28433v1	National Institute of Technology and Evaluation	GCA_000284335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/335/GCF_000284335.1_ASM28433v1		assembly from type material
GCF_000005845.2	PRJNA57779	SAMN02604091		reference genome	511145	562	Escherichia coli str. K-12 substr. MG1655	strain=K-12 substr. MG1655		latest	Complete Genome	Major	Full	2013/09/26	ASM584v2	Univ. Wisconsin	GCA_000005845.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/845/GCF_000005845.2_ASM584v2		
GCF_000025845.1	PRJNA224116	SAMN02603450		representative genome	512564	50052	Mycoplasma crocodyli MP145	strain=MP145		latest	Complete Genome	Major	Full	2010/03/26	ASM2584v1	J. Craig Venter Institute	GCA_000025845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/845/GCF_000025845.1_ASM2584v1		assembly from type material
GCF_000284295.1	PRJNA224116	SAMD00060941		representative genome	512565	1866	Actinoplanes missouriensis 431	strain=431		latest	Complete Genome	Major	Full	2012/03/28	ASM28429v1	National Institute of Technology and Evaluation	GCA_000284295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/295/GCF_000284295.1_ASM28429v1		assembly from type material
GCF_001310085.1	PRJNA224116	SAMN02711851		representative genome	512763	512763	Rufibacter tibetensis	strain=1351		latest	Complete Genome	Major	Full	2015/10/09	ASM131008v1	Hubei University of Technology	GCA_001310085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/310/085/GCF_001310085.1_ASM131008v1		assembly from type material
GCF_001612705.2	PRJNA224116	SAMN03981702		representative genome	515393	515393	Pseudomonas yamanorum	strain=LBUM636		latest	Complete Genome	Minor	Full	2018/04/05	ASM161270v2	Universite de Moncton	GCA_001612705.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/612/705/GCF_001612705.2_ASM161270v2		
GCF_000146185.1	PRJNA224116	SAMN02603083		representative genome	515620	39485	[Eubacterium] eligens ATCC 27750	strain=ATCC 27750		latest	Complete Genome	Major	Full	2009/06/04	ASM14618v1	Center for Genome Sciences, Washington University School of Medicine	GCA_000146185.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/185/GCF_000146185.1_ASM14618v1		assembly from type material
GCF_000145035.1	PRJNA224116	SAMN02602973		representative genome	515622	43305	Butyrivibrio proteoclasticus B316	strain=B316		latest	Complete Genome	Major	Full	2010/08/10	ASM14503v1	AgResearch	GCA_000145035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/145/035/GCF_000145035.1_ASM14503v1		assembly from type material
GCF_000021645.1	PRJNA224116	SAMN00002661		representative genome	515635	513050	Dictyoglomus turgidum DSM 6724	strain=DSM 6724		latest	Complete Genome	Major	Full	2008/12/12	ASM2164v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000021645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/645/GCF_000021645.1_ASM2164v1		assembly from type material
GCF_000963865.1	PRJNA224116	SAMN03382536		representative genome	516051	516051	Muricauda lutaonensis	strain=CC-HSB-11		latest	Complete Genome	Major	Full	2015/03/27	ASM96386v1	Korea Research Institute of Bioscience and Biotechnology	GCA_000963865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/963/865/GCF_000963865.1_ASM96386v1		assembly from type material
GCF_000020505.1	PRJNA224116	SAMN02598460		representative genome	517417	274539	Chlorobaculum parvum NCIB 8327	strain=NCIB 8327		latest	Complete Genome	Major	Full	2008/06/27	ASM2050v1	US DOE Joint Genome Institute	GCA_000020505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/505/GCF_000020505.1_ASM2050v1		
GCF_000020525.1	PRJNA224116	SAMN02598461		representative genome	517418	100716	Chloroherpeton thalassium ATCC 35110	strain=ATCC 35110		latest	Complete Genome	Major	Full	2008/06/27	ASM2052v1	US DOE Joint Genome Institute	GCA_000020525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/525/GCF_000020525.1_ASM2052v1		assembly from type material
GCF_001025155.1	PRJNA224116	SAMD00061039		representative genome	518635	1683	Bifidobacterium angulatum DSM 20098 = JCM 7096	strain=JCM 7096		latest	Complete Genome	Major	Full	2015/03/24	ASM102515v1	Graduate School of Frontier Sciences, University of Tokyo	GCA_001025155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/025/155/GCF_001025155.1_ASM102515v1		assembly from type material
GCF_000024845.1	PRJNA224116	SAMN00002700		representative genome	518766	29549	Rhodothermus marinus DSM 4252	strain=DSM 4252		latest	Complete Genome	Major	Full	2009/11/03	ASM2484v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000024845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/845/GCF_000024845.1_ASM2484v1		assembly from type material
GCF_009856625.1	PRJNA224116	SAMN13707219		representative genome	519081	519081	Aquitalea denitrificans	strain=5YN1-3		latest	Complete Genome	Major	Full	2020/01/11	ASM985662v1	Kyung Hee University	GCA_009856625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/856/625/GCF_009856625.1_ASM985662v1		assembly from type material
GCF_000024565.1	PRJNA224116	SAMN00002603		representative genome	519441	34105	Streptobacillus moniliformis DSM 12112	strain=DSM 12112		latest	Complete Genome	Major	Full	2009/11/16	ASM2456v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000024565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/565/GCF_000024565.1_ASM2456v1		assembly from type material
GCF_007858515.1	PRJNA224116	SAMN12273890		representative genome	519450	519450	Mycoplasma anserisalpingitidis	strain=MYCAV177		latest	Complete Genome	Major	Full	2019/08/06	ASM785851v1	Centre for Agricultural Research, Hungarian Academy of Sciences	GCA_007858515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/858/515/GCF_007858515.1_ASM785851v1		
GCF_001870205.1	PRJNA224116	SAMN05781328		representative genome	519472	519472	Vagococcus teuberi	strain=DSM 21459		latest	Complete Genome	Major	Full	2016/11/07	ASM187020v1	ETH Zurich	GCA_001870205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/870/205/GCF_001870205.1_ASM187020v1		assembly from type material
GCF_000222305.1	PRJNA224116	SAMN02604204		representative genome	521010	64897	Borreliella bissettii DN127	strain=DN127		latest	Complete Genome	Major	Full	2011/08/01	ASM22230v1	University of Maryland School of Medicine - Institute for Genome Sciences	GCA_000222305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/222/305/GCF_000222305.1_ASM22230v1		assembly from type material
